collected_at,search_id,signature,provider,kind,status,out_date,back_date,from_airport,to_airport,carrier,fare_brand,fare,bag_cost,true_total,stops,dep_local,arr_local,duration_min,bags_included_pp,deep_link
2026-09-06T17:12:27.848Z,O4,2027-08-12|LON>TPA,virgin_atlantic,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R1,2027-08-19|MCO>LON,british_airways,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R1,2027-08-19|MCO>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R1,2027-08-19|MCO>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R1,2027-08-19|MCO>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R2,2027-08-19|TPA>LON,british_airways,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R2,2027-08-19|TPA>LON,google_flights,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R2,2027-08-19|TPA>LON,skyscanner,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R2,2027-08-19|TPA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-19,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R3,2027-08-22|MIA>LON,british_airways,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R3,2027-08-22|MIA>LON,google_flights,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R3,2027-08-22|MIA>LON,skyscanner,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,R3,2027-08-22|MIA>LON,virgin_atlantic,one_way,skipped_provider_down,2027-08-22,,,,,,,,,,,,,,
2026-09-06T17:20:44.580Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,1812,0,1812,1,07:50,16:20,810,1,
2026-09-06T17:20:44.580Z,A1,2027-08-11|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,ok,2027-08-11,2027-08-19,,,BA,,1812,0,1812,1,06:15,16:20,905,1,
